,id,site,latitude,longitude,time_bp
1422,DB00894,Riera,43.42,-4.86,-21000
1423,DB00895,Riera,43.42,-4.86,-22000
1433,DB05949,Rislisberghohle,47.29,7.71,-13000
1434,DB02181,Rislisberghohle,47.29,7.71,-14000
1437,DB03647,Robin Hood s Cave,53.26,-1.21,-12000
1470,DB00537,Rond du Barry,45.06,3.86,-15000
1471,DB05917,Rond du Barry,45.06,3.86,-15000
1472,DB04496,Rond du Barry,45.06,3.86,-15000
1473,DB02734,Rond du Barry,45.06,3.86,-16000
1474,DB02993,Rond du Barry,45.06,3.86,-17000
1475,DB01406,Rond du Barry,45.06,3.86,-18000
1476,DB03566,Rond du Barry,45.06,3.86,-18000
1477,DB01407,Rond du Barry,45.06,3.86,-19000
1478,DB02978,Rond du Barry,45.06,3.86,-19000
1479,DB02256,Rond du Barry,45.06,3.86,-21000
1480,DB01917,Rond du Barry,45.06,3.86,-22000
1481,DB04135,Rond du Barry,45.06,3.86,-22000
1486,DB03234,Saaleck,51.11,11.7,-15000
1487,DB03243,Saaleck,51.11,11.7,-15000
1489,DB03052,Saint Germain la riviere,44.4,-0.33,-18000
1490,DB03567,Saint Germain la riviere,44.4,-0.33,-18000
1491,DB04974,Saint Germain la riviere,44.4,-0.33,-18000
1492,DB04252,Saint Germain la riviere,44.4,-0.33,-19000
1493,DB01782,Saint Germain la riviere,44.4,-0.33,-19000
1494,DB05707,Saint Germain la riviere,44.4,-0.33,-20000
1495,DB00088,Saint Germain la riviere,44.4,-0.33,-20000
1496,DB04612,Sainte Eulalie,44.58,1.88,-12000
1497,DB01126,Sainte Eulalie,44.58,1.88,-13000
1498,DB00089,Sainte Eulalie,44.58,1.88,-18000
1499,DB04422,Sainte Eulalie,44.58,1.88,-18000
1500,DB01617,Saladorf,48.28,15.87,-22000
1502,DB01783,Salvini,41.25,13.43,-15000
1503,DB04423,Salzets,44.22,3.15,-10000
1504,DB03378,Salzets,44.2,3.18,-10000
1505,DB05700,Santimamine,43.35,-2.64,-11000
1506,DB00826,Sauniere,45.23,0.88,-17000
1507,DB05406,Sauniere,45.23,0.88,-19000
1508,DB05918,Sauniere,45.23,0.88,-20000
1509,DB02054,Sauniere,45.23,0.88,-21000
1510,DB05923,Sauniere,45.23,0.88,-22000
1513,DB02466,Seamer Carr,54.48,-1.24,-11000
1514,DB03135,Seamer Carr ,54.48,-1.24,-12000
1515,DB00624,Sewell s Cave,36.75,-5.35,-13000
1526,DB05461,Sikiyaz Tamak,55.19,59.19,-13000
1527,DB04073,Sikiyaz Tamak,55.19,59.19,-19000
1537,DB04975,Smolin,48.67,17.13,-9000
1543,DB03007,Solutre,46.3,4.72,-15000
1544,DB01683,Solutre,46.3,4.72,-16000
1545,DB05362,Solutre,46.3,4.72,-17000
1546,DB03587,Solutre,46.3,4.72,-17000
1547,DB04140,Solutre,46.3,4.72,-17000
1548,DB04074,Solutre,46.3,4.72,-18000
1549,DB01908,Solutre,46.3,4.72,-18000
1550,DB02996,Solutre,46.3,4.72,-18000
1551,DB04075,Solutre,46.3,4.72,-18000
1552,DB02498,Solutre,46.3,4.72,-19000
1553,DB04522,Solutre,46.3,4.72,-21000
1560,DB05363,Soroki,48.18,28.32,-8000
1561,DB02468,Soroki,48.18,28.32,-11000
1562,DB01940,Span Koba,45.25,34.16,-11000
1563,DB05703,Spy,50.478,4.674,-15000
1567,DB04079,Stendel,51.43,9.92,-16000
1568,DB04080,Stranska skala,49.2,16.63,-22000
1569,DB04523,Stranska skala,49.2,16.63,-22000
1570,DB00985,Sun Hole,51.28,-2.76,-12000
1571,DB00421,Sun Hole,51.28,-2.76,-13000
1572,DB04613,Sun Hole,51.28,-2.76,-15000
1573,DB04038,Sun Hole,51.28,-2.76,-15000
1574,DB04141,Sun Hole,51.28,-2.76,-15000
1575,DB01629,Sun Hole,51.28,-2.76,-15000
1579,DB04083,Sur ya,59,58.8,-17000
1580,DB03138,Sur ya,59,58.8,-17000
1581,DB04290,Sur ya,59,58.8,-17000
1582,DB03686,Sur ya,59,58.8,-18000
1592,DB03139,Targowisko,49.99,20.3,-18000
1593,DB03934,Targowisko,49.99,20.3,-18000
1594,DB01000,Targowisko,49.99,20.3,-18000
1595,DB04086,Tastet,43.1,-0.41,-17000
1603,DB02577,Three Holes Cave,50.51,-3.66,-14000
1604,DB01408,Three Holes Cave,50.51,-3.66,-14000
1605,DB01946,Three Holes Cave,50.51,-3.66,-14000
1606,DB00831,Three Ways Wahrf,51.55,-0.48,-12000
1614,DB02470,Tito Bustillo,43.46,-5.07,-15000
1615,DB04145,Tito Bustillo,43.46,-5.07,-16000
1616,DB02069,Tito Bustillo,43.46,-5.07,-17000
1617,DB00979,Tito Bustillo,43.46,-5.07,-17000
1618,DB04528,Tito Bustillo,43.46,-5.07,-17000
1619,DB01296,Tito Bustillo,43.46,-5.07,-17000
1620,DB04043,Tito Bustillo,43.46,-5.07,-18000
1621,DB05353,Tito Bustillo,43.46,-5.07,-18000
1622,DB02257,Tito Bustillo,43.46,-5.07,-18000
1623,DB05354,Tito Bustillo,43.46,-5.07,-18000
1624,DB01947,Tito Bustillo,43.46,-5.07,-18000
1625,DB01950,Tito Bustillo,43.46,-5.07,-18000
1626,DB00091,Tito Bustillo,43.46,-5.07,-18000
1627,DB02070,Tito Bustillo,43.46,-5.07,-19000
1636,DB03144,Trestiana,46.98,27.78,-8000
1637,DB04045,Tribsees ,54.08,12.75,-10000
1638,DB04503,Tureau des Gardes,48.37,3.05,-13000
1639,DB04672,Tureau des Gardes,48.37,3.05,-14000
1640,DB04531,Tureau des Gardes,48.37,3.05,-14000
1641,DB02739,Tureau des Gardes,48.37,3.05,-14000
1642,DB01951,Tureau des Gardes,48.37,3.05,-15000
1645,DB04673,Ulvmose ,55.6,8.6,-12000
1646,DB04781,Urtiaga,43.28,-2.32,-12000
1647,DB03008,Urtiaga,43.28,-2.32,-19000
1648,DB00428,Urtiaga,43.28,-2.32,-19000
1649,DB00128,Urtiaga ,43.28,-2.32,-21000
1650,DB01664,Urtiaga ,43.28,-2.32,-21000
1651,DB04533,Urtiaga ,43.28,-2.32,-22000
1652,DB04532,Uxbridge,51.55,-0.48,-12000
1653,DB00987,Uxbridge,51.55,-0.48,-12000
1654,DB01419,Vado Arancio,43.98,10.89,-13000
1655,DB03146,Vado Arancio,43.98,10.89,-13000
1659,DB03657,Vergara,41.47,-1.61,-17000
1660,DB03591,Veyrer,46.17,6.17,-14000
1661,DB04782,Veyrer,46.17,6.17,-14000
1662,DB04674,Veyrer,46.17,6.17,-15000
1663,DB01066,Victoria Cave,54.13,-2.26,-14000
1664,DB03592,Ville Saint Jacques,48.34,2.9,-14000
1665,DB03593,Ville Saint Jacques,48.34,2.9,-14000
1666,DB00934,Vogelherd Cave,48.56,10.19,-17000
1679,DB04505,Wilczyce,50.75,21.66,-9000
1680,DB05356,Wilczyce,50.75,21.66,-16000
1713,DB04723,Wustermark,52.55,12.94,-10000
1714,DB00212,Zafarraya,36.62,-4.13,-22000
1723,DB02082,Zatoya,42.9,-1.21,-13000
1724,DB04539,Zatoya,42.9,-1.21,-14000
1725,DB01968,Zatoya,42.9,-1.21,-14000
