ID,Latitude,Longitude
3457197781,29.420513,79.777341
3457188262,-25.345096,31.848709
3457180557,-2.291742,34.795187
3457151189,12.038577,76.113951
3457146004,-1.473459,35.356953
3457087960,-24.414767,31.232768
3457082297,-3.132618,35.388422
3457071881,-23.758426,31.460971
3457070028,12.897311,99.375695
3456998586,-2.295744,34.954356
3456994369,-2.595131,34.961712
3456971193,-23.801261,28.355023
3456927418,29.487922,79.696685
3456834218,-26.314446,20.599918
3456655719,-26.29784,20.505169
3456518459,-2.310705,34.950237
3456480045,-1.933027,34.65481
3456462731,-0.176635,30.147279
3456431671,-1.866809,29.808768
3456402804,-18.713893,21.786514
3456350582,-1.98595,34.789089
3456347943,-2.355008,34.845942
3456252419,-12.189622,38.185535
3456236097,-2.226091,34.836632
3456085920,-17.995288,25.025137
3456060386,7.836714,80.749407
3455993643,-24.426727,31.589933
3455926441,-18.372674,25.85985
3455741347,-1.249267,35.157351
3455695926,-1.41103,35.022063
3455668520,-25.345947,27.126889
3455656198,-1.826574,36.0416
3455632385,11.729622,76.496173
3455629811,-1.929373,40.188711
3455602135,-1.656128,35.198242
3455592478,-1.290261,35.235623
3455506339,-17.814636,25.062159
3455480465,-2.218028,34.937031
3455458369,-1.618017,12.88799
3455398973,-2.633803,34.617103
3455383423,-34.088932,18.847019
3455376203,-2.93746,34.943262
3455350663,25.893615,76.526761
3455239417,-17.778765,28.050207
3448525409,2.401869,31.503983
3447324881,6.427213,81.572113
3423962741,14.3534,75.7407
3416085638,-18.654219,24.005182
3416078324,-0.192041,30.180302
3416039862,-25.477398,31.558285
3416038660,-24.756993,31.975907
3416010479,-27.865637,29.760852
3415989705,-19.154105,23.753105
3415848389,-1.210218,36.680595
3415784426,-1.359035,36.788535
3415754712,-2.302956,34.934137
3415740948,-33.055748,19.105791
3415708724,-19.133395,23.481227
3415702544,-18.585673,24.116348
3415692557,-1.646931,34.848627
3415691402,-1.240164,36.682691
3415689705,-2.336322,34.932958
3415636518,-33.1946,19.010417
3415555205,-22.135881,26.601718
3415555007,2.363871,31.495072
3415523747,-23.523777,30.948552
3415392194,-21.154124,31.868722
3415363050,-18.374619,35.229209
3408237809,-33.762329,21.482955
3408222079,0.330489,36.801065
