ID,latitude,longitude
488,-0.28223,34.97947
489,-0.2862,34.98157
490,-0.30283,34.99675
491,-0.32755,35.00632
492,-0.2812,34.9566
493,-0.2878,34.94888
494,-0.31185,34.91963
495,-0.31617,34.89033
496,-0.3199,34.86833
497,-0.33955,34.81917
498,-0.34798,34.79342
499,-0.35295,34.76232
500,-0.35907,34.72957
501,-0.35718,34.70705
502,-0.35585,34.68275
503,-0.38717,34.63008
504,-0.40978,34.61047
505,-0.42568,34.59567
506,-0.45188,34.57233
507,-0.47445,34.54647
508,-0.52237,34.47475
509,-0.51282,34.48853
510,-0.49757,34.50535
511,-0.49092,34.53023
512,-0.55485,34.44662
513,-0.59962,34.41937
514,-0.5731,34.36153
515,-0.48447,34.2977
516,-0.47815,34.29027
517,-0.46498,34.27793
518,-0.45168,34.2533
519,-0.44177,34.22515
520,-0.47073,34.1806
521,-0.53758,34.1641
522,-0.53773,34.16445
523,-0.55435,34.25305
524,-0.57398,34.26432
525,-0.63622,34.24143
526,-0.67587,34.21093
527,-0.72898,34.07062
528,-0.72507,34.05972
529,-0.81432,34.12788
530,-0.83802,34.15318
531,-0.9662,35.47135
532,-0.72797,35.0354
533,-0.69818,34.66728
534,-0.72247,34.6442
535,-0.75808,34.60188
536,-0.76597,34.59805
537,-0.81333,34.59268
538,-0.83923,34.58158
539,-0.89728,34.5403
540,-0.98057,34.50128
541,-1.08922,34.45905
542,-1.13023,34.44997
543,-0.7432,34.59505
544,-0.72162,34.57562
545,-0.7029,34.55353
546,-0.68757,34.53923
547,-0.6531,34.52247
548,-0.62895,34.5063
549,-0.60507,34.48732
550,-0.56478,34.46193
551,-0.62657,34.49945
552,-0.6408,34.47465
553,-0.6567,34.43727
554,-0.66853,34.41797
555,-0.72063,34.37662
556,-0.73355,34.36162
557,-0.74503,34.33412
558,-0.75367,34.28902
559,-0.7693,34.26395
560,-0.78613,34.24343
561,-0.81162,34.21697
562,-0.82827,34.17835
563,-0.08385,34.75172
564,-0.07427,34.66272
565,-0.10432,34.61313
566,-0.10378,34.58275
567,-0.11075,34.51028
568,-0.08275,34.4529
569,-0.08508,34.3546
570,-0.09942,34.28423
571,-0.08555,34.23882
572,-0.07943,34.2079
573,-0.06305,34.16162
574,-0.0518,34.133
575,-0.0554,34.11557
576,-0.07313,34.05967
577,-0.10947,34.38123
578,-0.12863,34.38547
579,-0.16655,34.378
580,-0.19278,34.34517
581,-0.25127,34.35333
582,-0.28808,34.3574
583,-0.32008,34.33232
584,-0.34942,34.31287
585,-0.38442,34.28282
586,-0.18752,34.38833
587,-0.15413,34.98523
588,-0.17927,35.09545
589,-0.19525,35.13842
590,-0.23655,35.15522
591,-0.64552,36.38675
592,0.80487,35.1331
593,0.85423,34.86798
594,0.72758,34.76315
595,0.70143,34.752
596,0.59518,34.76818
597,0.57162,34.8069
598,0.52953,34.81358
599,0.48448,34.84075
600,0.345,34.83098
601,0.22838,34.75598
602,0.16303,34.7438
603,-0.08262,34.77468
604,0.03913,34.58018
605,0.08562,34.55363
606,0.12582,34.43458
607,0.15517,34.32713
608,0.22153,34.25597
609,0.29307,34.21272
610,0.34008,34.18675
611,0.44638,34.14182
612,0.59887,34.22798
613,0.6331,34.29153
614,0.62018,34.34152
615,0.60605,34.39998
616,0.59687,34.44313
617,0.59102,34.50098
618,0.57807,34.56365
619,0.59707,34.61798
620,0.62063,34.69815
621,0.37977,34.49062
622,0.33893,34.49425
623,-1.32877,36.87553
624,-1.38773,36.9356
625,-1.49567,36.9546
626,-1.54093,36.9408
627,-1.68368,36.84742
628,-2.39592,36.85167
629,-1.71865,36.84013
630,-1.4461,36.9964
631,-1.49705,37.07622
632,-1.52038,37.24683
633,-1.53768,37.18248
634,-1.53438,37.16852
635,-1.50365,37.3743
636,-1.41395,37.64643
637,-1.39925,37.80537
638,-1.51122,38.01522
639,-2.0788,38.16512
640,-2.2009,38.05742
641,-2.61545,38.07468
642,-2.9948,38.46088
643,-3.4554,38.48472
644,-3.38965,37.70548
645,-3.456,37.60888
646,-3.26605,37.74662
647,-3.40782,38.56085
648,-3.66307,38.92753
649,-3.74312,39.08232
650,-3.88912,39.49877
651,-3.93595,39.5368
652,-4.51835,39.29263
653,-4.51802,39.19067
654,-4.55245,39.12538
655,-4.50305,39.26323
656,-3.9326,39.7466
657,-3.36253,39.93483
658,-3.1478,40.1234
659,-2.97188,40.14268
660,-2.79558,40.14737
661,-2.4433,40.167
662,-2.40968,40.20353
663,-2.33363,40.11907
