longitude,latitude,class
36.7173,-8.89667,presence
-1.3333,15.8,presence
5.5068,13.1227,presence
20.0928,-22.2764,presence
26.7001,-12.646,presence
35.1962,-15.0824,presence
26.689,-13.935,presence
31.8487,18.5698,presence
-10.8306,13.8083,presence
-15.9019,16.2339,presence
13.1106,6.751,presence
39.1667,14.15,presence
30.79187,-23.2546,presence
22.6033,12.1278,presence
5.3763,15.0459,presence
10.7342,5.6246,presence
43.2245,2.8215,presence
9.483,14.134,presence
3.90231,6.79984,presence
34.3785,13.691,presence
5.625,6.338,presence
-7.2,13.47,presence
35.966,-7.099,presence
30.6167,12.7,presence
-9.6,13.08334,presence
12.6928,6.5699,presence
15.3755,10.27942,presence
45.2062,4.7367,presence
26.217,10.334,presence
34.45905,-1.08922,presence
37.949,-5.649,presence
45.4376,10.3498,presence
-10.3167,13.6833,presence
3.4,14.39,presence
7.6001,10.7331,presence
29.8237,-18.9201,presence
35.16799,-23.92474,presence
3.7292,11.7058,presence
37.75,14.968,presence
37.51181,-17.31389,presence
35.7001,-6.5896,presence
9.98333,12.35,presence
-4.413,12.5,presence
14.2816,10.5651,presence
-14.936,13.5,presence
31.6,-24.989,presence
-3.6605,10.3122,presence
34.5,-2.75,presence
34.93333,-0.76667,presence
38.7246,7.8922,presence
32.66775,-26.342,presence
25.1461,11.2775,presence
25.9936,-15.0667,presence
-2.3638,13.4269,presence
15.53333,10.93333,presence
38.2173,15.015,presence
12.05,4.5,presence
16.7761,8.5179,presence
-0.238,11.056,presence
29.7166,11.0167,presence
27.85684,-12.54133,presence
29.6505,12.0463,presence
35.2494,-16.9135,presence
36.9761,8.9744,presence
32.8008,12.5904,presence
23.248,-20.201,presence
1.2667,10.5667,presence
37.285,7.606,presence
34.085,11.34,presence
39.8592,14.9555,presence
37.2667,12.2,presence
21.433,-18.017,presence
43.6978,10.2748,presence
17.83333,-25.16667,presence
-8,12.4667,presence
30.30278,19.92528,presence
-7.56019,12.86406,presence
32.93333,-18.3667,presence
-4.8969,13.2974,presence
33.0311,-25.0584,presence
33.1277,15.1607,presence
-13.7847,13.57833,presence
8.5341,8.734,presence
26.8811,-15.3475,presence
36.98919,13.04269,presence
34.282,10.55,presence
13.0401,4.9739,presence
33.478,-2.4768,presence
30.194,-5.2,presence
39.99992,-1.50513,presence
2.71667,9.85,presence
37.35,-3.35,presence
-15.95,14.25,presence
3.9602,14.24817,presence
29.9887,-1.2633,presence
9.195,12.43,presence
33.89441,0.72317,presence
7.877,8.842,presence
-6.0751,13.6739,presence
40,7.1155,presence
-0.6014,12.4899,presence
32.7667,13.1333,presence
2.48333,8.33333,presence
49.816,7.9826,presence
11.08,4.36,presence
14.5519,12.7688,presence
32.44902,15.38724,presence
43.916,9.917,presence
32.5971,0.4384,presence
44.6704,10.1779,presence
21.933,-21.534,presence
25.2987,13.4821,presence
26.73333,-16.2167,presence
-1.40027,12.18887,presence
-12.4297,16.3333,presence
-0.4735,13.169,presence
49.6862,10.132,presence
14.6167,11.8245,presence
40.0459,11.2116,presence
9.175,9.343,presence
37.26045,11.48652,presence
-14.947,12.901,presence
7.19,13.59,presence
34.125,0.453,presence
15.367,7.783,presence
31.2273,0.3754,presence
13.6412,8.1992,presence
42.1,9.3,presence
9.672,4.078,presence
5.244,13.058,presence
34.999,1.025,presence
38.847,14.7062,presence
-13.256,15.68,presence
-11.434,14.457,presence
-5.16591,10.65437,presence
19.497,-22.408,presence
30.6328,0.6173,presence
43.6498,3.1138,presence
-3.567,10.9,presence
33.13333,14.18333,presence
13.832,4.784,presence
30.9499,18.0525,presence
21.323,-17.9798,presence
-14.434,16.516,presence
42.1833,7.3333,presence
47.8298,7.6431,presence
35.09173,-0.68673,presence
28.3374,-21.6456,presence
11.22722,5.96944,presence
-8.3912,8.661,presence
-15.12074,16.51938,presence
-1.13456,11.16667,presence
6.231,7.56,presence
36.2036,16.156,presence
28.8509,-16.0271,presence
14.5676,11.4063,presence
6.2618,14.0188,presence
30.2573,-1.4586,presence
32.982,14.252,presence
13.5336,7.7328,presence
-4.2577,13.9516,presence
-3.06255,11.14607,presence
-14.621,16.517,presence
35,-15.7667,presence
6.54114,5.2434,presence
32.5853,16.1137,presence
33.9742,12.9896,presence
19.7,-17.91667,presence
-15.583,16.516,presence
35.55,4.35,presence
36.3134,18.3028,presence
35.6522,-7.92817,presence
-3.1322,12.657,presence
33.51667,14.4,presence
38.4908,16.779,presence
39.25374,-6.08173,presence
-14.151,12.951,presence
32.342,-0.223,presence
-12.2333,12.637,presence
6.36704,4.55891,presence
-15.1254,17.001,presence
4.331,12.518,presence
37.17869,-16.54057,presence
12.4779,6.5098,presence
0.399,10.183,presence
9.50279,14.13402,presence
35.985,-6.442,presence
33.9484,-1.6039,presence
12.035,4.51,presence
34.349,11.768,presence
-16.4,13.71667,presence
-14.80128,16.44604,presence
35.11155,-0.11086,presence
-1.9143,13.5122,presence
35.7857,-15.6427,presence
31.2224,-20.6699,presence
35.75,-4.2167,presence
35.95,14.96667,presence
-6.5447,14.0049,presence
11.5717,6.207,presence
39.35215,-15.1247,presence
31.299,-20.4346,presence
0.5998,11.034,presence
36.43333,15.38333,presence
11.45338,3.870892,presence
32.8333,-4.9167,presence
14,8.4997,presence
-1.2892,14.0908,presence
2.06917,7.18333,presence
44.691,9.7664,presence
2.399,11.2935,presence
46.4038,8.2871,presence
33.36667,14.78333,presence
-16.426,14.34,presence
37.591,15.111,presence
-4.61417,10.83325,presence
38.7667,14.05,presence
32.826,-5.0187,presence
32.7584,-16.7105,presence
28.65865,-12.93999,presence
-9.9137,15.0697,presence
30.1127,-2.2315,presence
34.8105,-12.6933,presence
31.54556,-2.07898,presence
29.9,-3.09,presence
36.69257,-1.32638,presence
39.4844,5.3754,presence
-13.4526,13.47341,presence
26.8562,-24.1855,presence
-0.05,14.05,presence
31.4593,-23.9752,presence
42.9667,10.5667,presence
32.453,-23.469,presence
-9.3653,15.8172,presence
4.26667,7.9,presence
37.58333,8.23333,presence
1.52,12.48,presence
36.7372,14.8326,presence
-10.5833,15.0667,presence
-13.9086,17.0582,presence
45.42,9.272,presence
-0.191,5.565,presence
36.85167,-2.39592,presence
6.59821,4.71071,presence
42.3886,3.3181,presence
38.48472,-3.4554,presence
-11.6844,14.2245,presence
-8.246,12.165,presence
8.315,4.956,presence
45.5381,9.5247,presence
31.0333,3.2,presence
-14.0267,13.551,presence
31.9935,-25.4438,presence
27.94943,-14.73853,presence
32.53732,-25.99175,presence
38.9877,-8.0087,presence
33.6367,13.5704,presence
4.25717,8.16492,presence
31.0333,3.2,presence
34.1649,-0.4302,presence
39.8333,-3.7833,presence
-0.8505,10.8663,presence
34.9566,-0.2812,presence
14.1278,10.0736,presence
34.62493,-19.53779,presence
13.5598,9.4243,presence
34.24448,0.51899,presence
0.2809,12.1086,presence
13.5651,7.9962,presence
34.903,-16.1699,presence
32.61314,-25.9284,presence
37.333,-0.683,presence
37.44362,-1.17823,presence
39.9544,-3.4014,presence
34.59985,-0.13304,presence
30.1127,-2.2315,presence
35.3206,-14.4484,presence
34.69815,0.62063,presence
-13.4526,13.47341,presence
-4.621,10.825,presence
30.19,-3,presence
37.829,-1.05565,presence
34.92298,-0.17228,presence
38.6596,14.1231,presence
38.92753,-3.66307,presence
37.3577,6.6666,presence
39.2847,-4.1235,presence
39.2709,8.542,presence
39.85,-3.683,presence
35.0329,-0.1753,presence
39.9477,-3.3343,presence
49.471,10.6893,presence
-10.8306,13.8083,presence
30.3837,19.6917,presence
37.31667,-0.73333,presence
-14.951,13.533,presence
34.2437,-0.8113,presence
32.5423,15.4301,presence
-14.85163,16.58237,presence
-16.3437,13.2078,presence
30.3333,-23.8333,presence
33.5283,14.4296,presence
23.2597,12.483,presence
-14.75461,16.54632,presence
-4.4136,11.4063,presence
32.5514,15.623,presence
32.453,-23.469,presence
37.27103,-3.43086,presence
12.4779,6.5098,presence
26.9396,-16.4687,presence
-5.16591,10.65437,presence
35.7789,-4,presence
32.9133,14.8027,presence
38.89736,-6.45335,presence
-13.64408,13.36585,presence
11.5744,6.5542,presence
32.6131,-25.9341,presence
5.87413,5.06493,presence
37.4842,14.9224,presence
-15.9333,13.7667,presence
34.1518,-0.6893,presence
35.153,-23.881,presence
37.01993,-1.10108,presence
34.30898,-0.50095,presence
-0.4482,12.219,presence
31.6995,-15.14997,presence
15.86,-17.436,presence
34.05148,0.7473,presence
33.18,14.91,presence
-0.35,12.16667,presence
11.45338,3.870892,presence
-17.4494,14.685,presence
27.1121,-15.0329,presence
34.38123,0.70195,presence
-2.5274,12.3848,presence
15.3333,10.65,presence
18.1258,-19.5333,presence
36.4856,8.587,presence
34.0665,-0.7215,presence
-1.0694,12.8224,presence
23.248,-20.201,presence
-1.08333,13.61667,presence
39.7783,-3.552,presence
34.82381,-16.2342,presence
37.279,7.683,presence
34.916,-0.182,presence
34.6375,11.846,presence
33.36667,14.78333,presence
34.75,0.1667,presence
9.98333,12.35,presence
-15.5417,13.5744,presence
34.7519,0.28285,presence
-17.4662,14.7041,presence
-16.2852,16.4016,presence
-17.4901,14.7449,presence
36.2503,-8.2089,presence
37.1361,-6.7869,presence
34.9111,-16.2467,presence
34.53023,-0.49092,presence
-10.1637,16.3979,presence
41.0805,11.7374,presence
33.4336,16.6838,presence
-0.2974,12.1467,presence
13.5404,8.7225,presence
34.739,-0.44,presence
34.86194,-16.24694,presence
39.25,-6.15,presence
33.55,13.85,presence
34.2079,-0.07943,presence
37.549,-6.2536,presence
35.0354,-0.72797,presence
-17.4532,14.7145,presence
32.659,13.1748,presence
37.3971,-3.433,presence
-1.5,12.35,presence
34.8,-0.1833,presence
38.708,7.932,presence
39.4541,-4.1553,presence
-13.51353,13.52563,presence
-0.267,12.001,presence
27.3433,-15.21751,presence
34.0357,-0.0329,presence
34.25207,-0.23878,presence
-15.5766,13.586,presence
-4.35,11.03333,presence
30.30278,19.92528,presence
34.1068,-0.0469,presence
-1.08333,13.61667,presence
45.1648,9.8881,presence
35.04673,-0.07505,presence
37.87798,-1.03255,presence
37.2967,-0.7403,presence
34.348,-0.015,presence
34.216,-0.798,presence
47.1667,8.4167,presence
-9.015,9.264,presence
36.9117,-1.2101,presence
30.02,-3.42,presence
43.429,9.9646,presence
36.78002,-1.23033,presence
-15.7731,13.3624,presence
39.8124,-3.5888,presence
-17.4614,14.6817,presence
33.55,13.85,presence
-6.64525,13.05859,presence
36.85167,-2.39592,presence
34.1635,-0.5454,presence
34.4099,-0.1752,presence
34.4782,-0.621,presence
36.9345,7.7049,presence
